person_name,email,phone,job_title,Department,company_name,Role Function,Employee ID,Status,website,country,industry,size,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
James Edwards,james.edwards3173@gmail.com,+1-800 570-737-9167,Software Architect,Product,Johnson & Johnson,Technical,EMP01094,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,james.edwards3173@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18005707379167,False,,Engineering,0.95
Abigail Brown,abigail.brown4819@yahoo.com,+61 915-596-2989,Senior Developer,Research & Development,Sony,Technical,EMP01095,Active,,,,,missing_industry;missing_company_size;missing_country,True,abigail.brown4819@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+619155962989,False,,Engineering,0.95
Alexander Phillips,alexander.phillips5191@yahoo.com,+1-800 214-665-7684,Coordinator,Compliance,Warner Bros,Operations,EMP01096,Active,,,,,missing_industry;missing_company_size;missing_country,True,alexander.phillips5191@yahoo.com,,0.0,0.0,Phone Formatting,,+18002146657684,False,,Other,0.0
Steven Cooper,steven.cooper2622@email.com,+61 933-398-9337,Vice President,Product,JPMorgan Chase,Executive Leadership,EMP01097,Active,,,,,missing_industry;missing_company_size;missing_country,True,steven.cooper2622@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+619333989337,False,,Management,0.95
Sharon Cooper,sharon.cooper9131@company.com,+33 592-295-9327,Marketing Specialist,Engineering,Salesforce,Marketing,EMP01098,Active,,,,,missing_industry;missing_company_size;missing_country,True,sharon.cooper9131@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+335922959327,False,,Marketing,0.95
David Moore,david.moore8418@work.com,+86 202-389-5891,Strategist,Strategic Planning,Volkswagen,Operations,EMP01099,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,david.moore8418@work.com,,0.0,0.0,Phone Formatting,,+862023895891,False,,Other,0.0
Samuel Edwards,samuel.edwards8035@mail.com,+81 540-665-9903,Content Writer,Human Resources,Nestlé,Operations,EMP01100,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,samuel.edwards8035@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+815406659903,False,,Marketing,0.95
Eric Ortiz,eric.ortiz9468@yahoo.com,+91 439-976-7730,Product Manager,Legal,Disney,Middle Management,EMP01101,Active,,,,,missing_industry;missing_company_size;missing_country,True,eric.ortiz9468@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+914399767730,False,,Management,0.95
Brian Morales,brian.morales2592@email.com,+61 237-229-9229,Marketing Specialist,Business Development,BP,Marketing,EMP01102,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,brian.morales2592@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+612372299229,False,,Marketing,0.95
George Bell,george.bell7586@mail.com,+1 939-247-7717,President,Product,Tesla,Executive Leadership,EMP01103,Active,,,,,missing_industry;missing_company_size;missing_country,True,george.bell7586@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+19392477717,False,,Management,0.95
Barbara Walker,barbara.walker6612@mail.com,+44 536-972-9742,Analyst,Research & Development,Volkswagen,Analysis,EMP01104,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,barbara.walker6612@mail.com,,0.0,0.0,Phone Formatting,,+445369729742,False,,Other,0.0
Brian Parker,brian.parker688@mail.com,+1-888 270-340-5708,Support Engineer,Engineering,TSMC,Technical,EMP01105,Active,,,,,missing_industry;missing_company_size;missing_country,True,brian.parker688@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18882703405708,False,,Engineering,0.95
Jean Garcia,jean.garcia1746@email.com,+61 370-810-5906,Quality Assurance Manager,Sales,AT&T,Middle Management,EMP01106,Active,,,,,missing_industry;missing_company_size;missing_country,True,jean.garcia1746@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+613708105906,False,,Management,0.95
Jennifer Lee,jennifer.lee6241@outlook.com,+91 349-350-9702,Analyst,Finance,Mercedes-Benz,Analysis,EMP01107,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,jennifer.lee6241@outlook.com,,0.0,0.0,Phone Formatting,,+913493509702,False,,Other,0.0
Benjamin Collins,benjamin.collins1393@yahoo.com,+1-888 591-734-4945,Analyst,Operations,Oracle,Analysis,EMP01108,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,benjamin.collins1393@yahoo.com,,0.0,0.0,Phone Formatting,,+18885917344945,False,,Other,0.0
Samuel Martinez,samuel.martinez7629@outlook.com,+86 882-109-8622,Software Developer,Product,Twitter,Technical,EMP01109,Active,,,,,missing_industry;missing_company_size;missing_country,True,samuel.martinez7629@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+868821098622,False,,Engineering,0.95
Jerry Wright,jerry.wright9726@outlook.com,+86 854-534-5097,Senior Manager,Marketing,Nestlé,Middle Management,EMP01110,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,jerry.wright9726@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+868545345097,False,,Management,0.95
Kevin Gonzalez,kevin.gonzalez6348@yahoo.com,+1-888 567-688-5847,HR Manager,Engineering,Tesla,Middle Management,EMP01111,Active,,,,,missing_industry;missing_company_size;missing_country,True,kevin.gonzalez6348@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18885676885847,False,,HR,0.95
Robert Cooper,robert.cooper9372@gmail.com,+1 820-863-9138,Recruiter,Business Development,Toyota,Human Resources,EMP01112,Active,,,,,missing_industry;missing_company_size;missing_country,True,robert.cooper9372@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18208639138,False,,HR,0.95
Alice Morgan,alice.morgan3688@outlook.com,+49 835-356-3240,Software Developer,Design,Qualcomm,Technical,EMP01113,Active,,,,,missing_industry;missing_company_size;missing_country,True,alice.morgan3688@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+498353563240,False,,Engineering,0.95
Alexander Evans,alexander.evans646@company.com,+1-888 573-849-3153,Chief Financial Officer,Quality Assurance,T-Mobile,Executive Leadership,EMP01114,Active,,,,,missing_industry;missing_company_size;missing_country,True,alexander.evans646@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18885738493153,False,,Management,0.95
Carol Lee,carol.lee2265@yahoo.com,+1-800 574-643-9221,Legal Advisor,Strategic Planning,Cisco,Consulting,EMP01115,Active,,,,,missing_industry;missing_company_size;missing_country,True,carol.lee2265@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18005746439221,False,,Legal,0.95
Nancy Taylor,nancy.taylor5649@outlook.com,+44 679-177-3306,Administrator,Engineering,Qualcomm,Operations,EMP01116,Active,,,,,missing_industry;missing_company_size;missing_country,True,nancy.taylor5649@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+446791773306,False,,Admin,0.95
Jerry Morris,jerry.morris9231@work.com,+81 292-909-7464,Training Specialist,Business Development,AMD,Operations,EMP01117,Active,,,,,missing_industry;missing_company_size;missing_country,True,jerry.morris9231@work.com,,0.0,0.0,Phone Formatting,,+812929097464,False,,Other,0.0
Kimberly Wright,kimberly.wright4395@email.com,+1-888 590-942-7086,Vice President,Product,ExxonMobil,Executive Leadership,EMP01118,Active,,,,,missing_industry;missing_company_size;missing_country,True,kimberly.wright4395@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18885909427086,False,,Management,0.95
Jerry Anderson,jerry.anderson5474@mail.com,+1-888 426-763-2035,Marketing Specialist,Technology,Lyft,Marketing,EMP01119,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,jerry.anderson5474@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18884267632035,False,,Marketing,0.95
Cynthia Martin,cynthia.martin842@yahoo.com,+1 511-604-2902,HR Specialist,Strategic Planning,JPMorgan Chase,Human Resources,EMP01120,Active,,,,,missing_industry;missing_company_size;missing_country,True,cynthia.martin842@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+15116042902,False,,HR,0.95
Paul Gomez,paul.gomez6178@company.com,+1-800 629-701-3531,Software Architect,Human Resources,BP,Technical,EMP01121,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,paul.gomez6178@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18006297013531,False,,Engineering,0.95
Megan Miller,megan.miller4683@company.com,+1 906-479-4559,Assistant,Engineering,Lyft,Operations,EMP01122,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,megan.miller4683@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+19064794559,False,,Admin,0.95
Nicholas Thomas,nicholas.thomas9020@outlook.com,+81 262-507-5520,Marketing Manager,Sales,Netflix,Middle Management,EMP01123,Active,,,,,missing_industry;missing_company_size;missing_country,True,nicholas.thomas9020@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+812625075520,False,,Marketing,0.95
Jessica Reed,jessica.reed3575@email.com,+1-888 221-151-6464,Administrator,Product,Meta,Operations,EMP01124,Active,,,,,missing_industry;missing_company_size;missing_country,True,jessica.reed3575@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18882211516464,False,,Admin,0.95
Charles Cook,charles.cook9180@work.com,+49 800-321-4817,Database Administrator,Legal,Apple,Analysis,EMP01125,Active,,,,,missing_industry;missing_company_size;missing_country,True,charles.cook9180@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+498003214817,False,,Admin,0.95
Alice Martinez,alice.martinez2470@outlook.com,+33 753-356-3858,Analyst,Design,Walmart,Analysis,EMP01126,Active,,,,,missing_industry;missing_company_size;missing_country,True,alice.martinez2470@outlook.com,,0.0,0.0,Phone Formatting,,+337533563858,False,,Other,0.0
Dennis Bell,dennis.bell3998@outlook.com,+1-888 531-116-3854,Chief Technology Officer,Human Resources,Walmart,Executive Leadership,EMP01127,Active,,,,,missing_industry;missing_company_size;missing_country,True,dennis.bell3998@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18885311163854,False,,Management,0.95
William Rodriguez,william.rodriguez1141@gmail.com,+61 659-896-6931,Legal Advisor,Strategic Planning,JD.com,Consulting,EMP01128,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,william.rodriguez1141@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+616598966931,False,,Legal,0.95
Lauren Miller,lauren.miller810@mail.com,+1-800 508-569-1510,Account Executive,Data Science,Adobe,Sales,EMP01129,Active,,,,,missing_industry;missing_company_size;missing_country,True,lauren.miller810@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18005085691510,False,,Management,0.95
Diane Reed,diane.reed8132@gmail.com,+61 275-182-6277,Finance Manager,Strategic Planning,Netflix,Middle Management,EMP01130,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,diane.reed8132@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+612751826277,False,,Management,0.95
Christopher Jones,christopher.jones9690@email.com,+1-800 929-432-7240,Senior Director,Research & Development,Lyft,Senior Management,EMP01131,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,christopher.jones9690@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18009294327240,False,,Management,0.95
Victoria Jackson,victoria.jackson1724@company.com,+44 870-766-4522,Sales Representative,Data Science,Uber,Sales,EMP01132,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,victoria.jackson1724@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+448707664522,False,,Sales,0.95
Cheryl Gomez,cheryl.gomez7530@work.com,+91 625-847-2557,Software Developer,Strategic Planning,Volkswagen,Technical,EMP01133,Active,,,,,missing_industry;missing_company_size;missing_country,True,cheryl.gomez7530@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+916258472557,False,,Engineering,0.95
Gary Lee,gary.lee7870@yahoo.com,+44 293-951-2398,Recruiter,Research & Development,ExxonMobil,Human Resources,EMP01134,Active,,,,,missing_industry;missing_company_size;missing_country,True,gary.lee7870@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+442939512398,False,,HR,0.95
Brenda Miller,brenda.miller9215@yahoo.com,+1 800-675-6400,Legal Advisor,Support,Qualcomm,Consulting,EMP01135,Active,,,,,missing_industry;missing_company_size;missing_country,True,brenda.miller9215@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18006756400,False,,Legal,0.95
Ryan Thompson,ryan.thompson942@email.com,+86 814-419-6761,Recruiter,Strategic Planning,TSMC,Human Resources,EMP01136,Active,,,,,missing_industry;missing_company_size;missing_country,True,ryan.thompson942@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+868144196761,False,,HR,0.95
Christina Allen,christina.allen3774@company.com,+44 558-965-7022,Senior Developer,Human Resources,Pinterest,Technical,EMP01137,Active,,,,,missing_industry;missing_company_size;missing_country,True,christina.allen3774@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+445589657022,False,,Engineering,0.95
Abigail Moore,abigail.moore9290@company.com,+1-888 828-791-1430,Database Administrator,Compliance,Qualcomm,Analysis,EMP01138,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,abigail.moore9290@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18888287911430,False,,Admin,0.95
Dennis Cooper,dennis.cooper4577@yahoo.com,+86 547-459-1100,Customer Success Manager,Research & Development,Amazon,Middle Management,EMP01139,Active,,,,,missing_industry;missing_company_size;missing_country,True,dennis.cooper4577@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+865474591100,False,,Management,0.95
Christopher Torres,christopher.torres602@yahoo.com,+44 964-643-4524,Recruiter,Business Development,Apple,Human Resources,EMP01140,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,christopher.torres602@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+449646434524,False,,HR,0.95
Sharon Robinson,sharon.robinson5414@outlook.com,+1-888 810-186-1861,Project Manager,Operations,ExxonMobil,Middle Management,EMP01141,Active,,,,,missing_industry;missing_company_size;missing_country,True,sharon.robinson5414@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18888101861861,False,,Management,0.95
Daniel Murphy,daniel.murphy4558@gmail.com,+61 877-534-8957,Financial Analyst,Finance,Netflix,Analysis,EMP01142,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,daniel.murphy4558@gmail.com,,0.0,0.0,Phone Formatting,,+618775348957,False,,Other,0.0
Nicholas Clark,nicholas.clark1964@mail.com,+81 640-213-5640,Business Analyst,Legal,AT&T,Analysis,EMP01143,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,nicholas.clark1964@mail.com,,0.0,0.0,Phone Formatting,,+816402135640,False,,Other,0.0
Stephen King,stephen.king6575@yahoo.com,+1-888 256-107-4349,Recruiter,Quality Assurance,Microsoft,Human Resources,EMP01144,Active,,,,,missing_industry;missing_company_size;missing_country,True,stephen.king6575@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18882561074349,False,,HR,0.95
Margaret Rogers,margaret.rogers2065@outlook.com,+1 709-864-8055,Senior Director,Research & Development,Mercedes-Benz,Senior Management,EMP01145,Active,,,,,missing_industry;missing_company_size;missing_country,True,margaret.rogers2065@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+17098648055,False,,Management,0.95
Charles Harris,charles.harris5902@mail.com,+44 606-982-1693,Software Architect,Compliance,Alibaba,Technical,EMP01146,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,charles.harris5902@mail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+446069821693,False,,Engineering,0.95
Robert Robinson,robert.robinson9494@company.com,+91 926-755-7843,Chief Marketing Officer,Customer Success,Airbnb,Executive Leadership,EMP01147,Active,,,,,missing_industry;missing_company_size;missing_country,True,robert.robinson9494@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+919267557843,False,,Marketing,0.95
Thomas Sanchez,thomas.sanchez7638@work.com,+81 290-547-2734,Chief Technology Officer,Customer Success,Oracle,Executive Leadership,EMP01148,Active,,,,,missing_industry;missing_company_size;missing_country,True,thomas.sanchez7638@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+812905472734,False,,Management,0.95
Brenda Peterson,brenda.peterson5183@company.com,+81 426-441-3754,Finance Manager,Data Science,Meta,Middle Management,EMP01149,Active,,,,,missing_industry;missing_company_size;missing_country,True,brenda.peterson5183@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+814264413754,False,,Management,0.95
Joyce Parker,joyce.parker5824@yahoo.com,+81 944-938-3419,Vice President,Data Science,Alibaba,Executive Leadership,EMP01150,Active,,,,,missing_industry;missing_company_size;missing_country,True,joyce.parker5824@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+819449383419,False,,Management,0.95
